episode,avg_reward,episode_length,high_priority_success,num_windows,completed_high_total,obstacle_collisions,building_collisions,uav_uav_collisions,total_collisions,terminated_by_collision,mean_steps_to_complete,n_obstacles,inspection_z_fraction,completion_xy_radius,completion_z_tol,uav_sep,uav_sep_penalty,obstacle_collision_penalty,building_collision_penalty,uav_collision_penalty,terminate_on_collision
129,-91.15373992919922,300,0.25,2,2,0,0,0,0,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
130,-84.51641845703125,300,0.375,2,3,3,4,0,7,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
131,-118.02399444580078,300,0.375,2,3,11,0,0,11,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
132,-72.16151428222656,300,0.25,2,2,0,3,0,3,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
133,-105.76992797851562,300,0.125,2,1,0,3,1,4,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
134,-103.68026733398438,300,0.25,2,2,5,1,0,6,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
135,-65.2340087890625,300,0.75,2,6,0,4,2,6,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
136,-174.31304931640625,300,0.125,2,1,14,3,0,17,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
137,-100.47816467285156,300,0.125,2,1,0,0,0,0,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
138,-54.9636116027832,300,0.375,2,3,1,0,0,1,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
139,-206.2658233642578,300,0.25,2,2,29,4,0,33,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
140,-42.84027099609375,300,0.625,2,5,0,0,1,1,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
141,-85.12966918945312,300,0.375,2,3,3,1,1,5,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
142,-75.93534088134766,300,0.625,2,5,10,0,1,11,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
143,-99.42074584960938,300,0.25,2,2,0,0,0,0,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
144,-46.82257843017578,300,0.625,2,5,0,0,0,0,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
145,-44.42500686645508,300,0.375,2,3,0,0,0,0,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
146,-152.52867126464844,300,0.375,2,3,1,4,9,14,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
147,-56.906524658203125,300,0.5,2,4,0,6,0,6,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
