episode,avg_reward,episode_length,high_priority_success,uav0_dist,uav1_dist,uav2_dist,uav3_dist,coll_uav_uav,coll_uav_obs,coll_uav_other_task,uav0_finish,uav1_finish,uav2_finish,uav3_finish
67,-107.3333969116211,300,0.5,2.227022647857666,15.308011054992676,17.62437629699707,3.8326706886291504,0,16,0,300,-1,-1,300
68,-179.89926147460938,300,0.5,0.16381791234016418,12.668231010437012,1.9221394062042236,16.568435668945312,0,52,1,300,-1,28,-1
69,-229.072998046875,300,0.0,19.1678524017334,14.286067962646484,17.610107421875,16.203052520751953,0,28,0,-1,-1,-1,-1
70,-212.2191162109375,300,0.0,14.447038650512695,19.540435791015625,16.896942138671875,13.59546947479248,1,6,0,-1,-1,-1,-1
71,-174.227783203125,300,0.25,19.757484436035156,0.08660254627466202,20.4619140625,16.477466583251953,0,43,6,-1,300,-1,-1
72,-199.15536499023438,300,0.25,17.375713348388672,17.427780151367188,16.74542236328125,3.1654820442199707,0,4,3,-1,-1,-1,49
73,-224.64915466308594,300,0.0,19.02867317199707,19.53952407836914,19.215627670288086,14.889450073242188,0,11,24,-1,-1,-1,-1
74,-121.65046691894531,300,0.5,5.923707962036133,8.603238105773926,17.328163146972656,5.394200325012207,0,30,0,300,-1,-1,300
75,-149.04180908203125,300,0.25,14.000137329101562,19.605894088745117,18.069101333618164,3.698712110519409,0,7,8,-1,-1,-1,300
76,-111.41573333740234,300,0.25,3.2663331031799316,19.334264755249023,17.184906005859375,13.17174243927002,0,5,1,300,-1,-1,-1
77,-143.52203369140625,300,0.25,1.563637375831604,16.468109130859375,18.480619430541992,17.327571868896484,0,0,0,300,-1,-1,-1
78,-140.332763671875,300,0.25,13.622243881225586,18.728090286254883,3.148009777069092,6.8798933029174805,0,0,0,-1,-1,300,-1
79,-206.78895568847656,300,0.25,14.486709594726562,17.789140701293945,17.969663619995117,4.138884544372559,0,53,0,-1,-1,-1,300
80,-219.9429168701172,300,0.0,19.43891716003418,17.36186981201172,18.08465003967285,15.976828575134277,0,21,8,-1,-1,-1,-1
81,-307.58270263671875,300,0.0,19.17563247680664,16.99862289428711,16.527170181274414,13.458820343017578,0,101,2,-1,-1,-1,-1
82,-102.07198333740234,300,0.5,16.59438133239746,19.44622230529785,1.5863808393478394,1.8147681951522827,0,38,2,-1,-1,23,300
83,-258.81292724609375,300,0.0,19.92972183227539,19.829423904418945,17.983375549316406,17.32442855834961,0,28,86,-1,-1,-1,-1
84,-161.4506378173828,300,0.0,17.58403205871582,20.225082397460938,16.938886642456055,16.358139038085938,6,6,13,-1,-1,-1,-1
85,-197.44586181640625,300,0.0,19.83974838256836,12.21979808807373,18.753910064697266,15.849185943603516,0,39,0,-1,-1,-1,-1
86,-168.5469512939453,300,0.0,16.467910766601562,19.34002685546875,17.477237701416016,13.008380889892578,0,5,0,-1,-1,-1,-1
87,-135.7318572998047,300,0.25,1.8783143758773804,19.328907012939453,16.5716609954834,13.490930557250977,0,0,2,300,-1,-1,-1
88,-160.94076538085938,300,0.0,16.71102523803711,19.875490188598633,16.90682029724121,8.0647611618042,0,11,0,-1,-1,-1,-1
89,-94.13682556152344,300,0.25,19.964153289794922,20.432491302490234,1.085902452468872,13.036360740661621,0,0,0,-1,-1,300,-1
90,-218.9727325439453,300,0.25,4.082254886627197,19.542911529541016,18.077064514160156,14.146973609924316,0,81,0,300,-1,-1,-1
91,-473.6770935058594,300,0.0,19.39282989501953,20.088415145874023,17.335317611694336,12.8665771484375,0,215,9,-1,-1,-1,-1
92,-125.32533264160156,300,0.25,1.2370527982711792,12.5419340133667,17.227378845214844,14.386948585510254,27,0,0,300,-1,-1,-1
93,-218.5745086669922,300,0.5,20.01485252380371,6.5014142990112305,19.401798248291016,13.769622802734375,0,88,16,-1,300,-1,300
94,-127.79002380371094,300,0.25,19.834959030151367,19.92245101928711,3.814201593399048,15.192635536193848,0,0,8,-1,-1,300,-1
95,-165.88185119628906,300,0.0,17.66397476196289,19.052637100219727,17.103530883789062,12.969202041625977,0,0,0,-1,-1,-1,-1
96,-205.5951690673828,300,0.0,16.01622200012207,18.181297302246094,15.745855331420898,14.546469688415527,16,0,0,-1,-1,-1,-1
97,-139.49496459960938,300,0.25,13.399170875549316,17.074039459228516,16.88138198852539,0.5410279035568237,0,0,0,-1,-1,-1,300
98,-181.39093017578125,300,0.25,18.837135314941406,17.059246063232422,17.334213256835938,12.789216995239258,0,27,5,-1,300,-1,-1
99,-286.5203857421875,300,0.0,19.064746856689453,18.794557571411133,19.13927459716797,13.144247055053711,0,27,17,-1,-1,-1,-1
100,-170.5796661376953,300,0.0,17.13767433166504,19.946880340576172,16.70025634765625,13.908463478088379,0,25,2,-1,-1,-1,-1
101,-228.22103881835938,300,0.0,15.580599784851074,16.810163497924805,17.50894546508789,15.048669815063477,0,13,4,-1,-1,-1,-1
102,-215.12022399902344,300,0.0,16.851205825805664,19.748506546020508,17.028430938720703,10.128612518310547,0,1,3,-1,-1,-1,-1
103,-157.67025756835938,300,0.25,4.491581916809082,15.147172927856445,19.72406768798828,16.054542541503906,0,7,14,300,-1,-1,-1
104,-69.94303894042969,300,0.5,19.304412841796875,19.321550369262695,5.358814239501953,4.312626361846924,0,1,0,-1,-1,300,300
105,-110.24476623535156,300,0.25,9.833001136779785,19.759159088134766,19.796001434326172,17.785890579223633,0,12,18,145,-1,-1,-1
106,-180.85272216796875,300,0.0,13.39421558380127,19.59209442138672,11.022294998168945,18.566875457763672,0,4,1,-1,-1,-1,-1
107,-177.39700317382812,300,0.5,18.353647232055664,7.09484338760376,19.16909408569336,10.923196792602539,0,12,31,-1,300,-1,300
108,-27.824878692626953,300,0.5,1.547500729560852,16.149152755737305,16.557802200317383,0.07507655769586563,0,0,0,300,-1,-1,300
109,-215.74798583984375,300,0.0,8.246219635009766,17.943374633789062,17.820449829101562,14.71113109588623,0,11,15,-1,-1,-1,-1
110,-259.53607177734375,300,0.0,16.789541244506836,18.66781234741211,16.521677017211914,15.03365421295166,0,4,1,-1,-1,-1,-1
111,-248.75070190429688,300,0.25,10.95095443725586,13.745555877685547,19.04360008239746,18.851789474487305,0,112,0,300,-1,-1,-1
112,-170.8649444580078,300,0.0,13.77234935760498,13.534278869628906,19.57220458984375,16.153898239135742,0,10,0,-1,-1,-1,-1
113,-222.9810333251953,300,0.0,18.298585891723633,18.252328872680664,18.01510238647461,16.173206329345703,2,4,4,-1,-1,-1,-1
114,-136.2550506591797,300,0.25,19.16096305847168,16.897912979125977,19.61794662475586,1.890647530555725,0,2,4,-1,-1,-1,300
115,-170.67689514160156,300,0.25,18.205615997314453,20.037145614624023,1.9914337396621704,14.665587425231934,0,1,0,-1,-1,300,-1
116,-185.05760192871094,300,0.0,18.591814041137695,19.291406631469727,16.525617599487305,14.699054718017578,0,3,0,-1,-1,-1,-1
117,-125.80665588378906,300,0.25,19.232412338256836,17.256568908691406,0.26087111234664917,16.66427993774414,0,5,0,-1,-1,300,-1
118,-162.74807739257812,300,0.25,14.186478614807129,16.561344146728516,11.201499938964844,16.200864791870117,0,10,17,-1,-1,191,-1
119,-285.60845947265625,300,0.0,17.55204200744629,18.222028732299805,19.10175323486328,15.201849937438965,0,22,33,-1,-1,-1,-1
120,-111.71343994140625,300,0.25,13.245633125305176,17.153133392333984,2.6121878623962402,14.18188190460205,0,0,0,-1,-1,300,-1
121,-198.2799835205078,300,0.0,14.8051118850708,18.164995193481445,16.095539093017578,15.778542518615723,0,0,0,-1,-1,-1,-1
122,-123.6431655883789,300,0.25,16.474843978881836,19.752758026123047,2.0807862281799316,12.918067932128906,0,0,2,-1,-1,300,-1
123,-202.6234588623047,300,0.0,16.33641242980957,19.872304916381836,16.92072868347168,17.654687881469727,0,0,0,-1,-1,-1,-1
124,-46.60676956176758,300,0.5,5.787796974182129,0.8686546683311462,18.53291130065918,15.87299633026123,0,0,0,300,300,-1,-1
125,-174.08334350585938,300,0.25,15.557347297668457,5.430002689361572,19.650903701782227,18.206195831298828,0,5,27,-1,300,-1,-1
126,-184.89266967773438,300,0.0,15.178351402282715,14.976984977722168,18.846519470214844,18.468135833740234,0,16,5,-1,-1,-1,-1
127,-221.34262084960938,300,0.0,19.744155883789062,19.942541122436523,17.434627532958984,15.117172241210938,0,19,8,-1,-1,-1,-1
128,-100.70548248291016,300,0.5,2.9580461978912354,18.952669143676758,13.917238235473633,18.954015731811523,0,9,1,45,-1,300,-1
129,-191.8616485595703,300,0.25,17.955032348632812,19.21137237548828,7.782733917236328,17.55849838256836,0,33,3,-1,-1,300,-1
130,-133.77772521972656,300,0.25,1.2038605213165283,17.69108009338379,20.483997344970703,18.634830474853516,1,0,0,300,-1,-1,-1
131,-195.5988006591797,300,0.0,14.24010944366455,19.202362060546875,17.844480514526367,13.83053207397461,0,4,0,-1,-1,-1,-1
132,-113.14057159423828,300,0.25,12.844071388244629,17.273761749267578,8.215228080749512,16.29075050354004,0,0,1,-1,-1,300,-1
133,-179.31561279296875,300,0.25,12.990421295166016,18.74655532836914,10.888721466064453,0.20832377672195435,0,0,0,-1,-1,-1,300
134,-179.37220764160156,300,0.0,13.332989692687988,19.61427116394043,9.880596160888672,14.330162048339844,0,13,0,-1,-1,-1,-1
135,-91.47425842285156,300,0.25,10.647208213806152,2.5060136318206787,15.484102249145508,16.991846084594727,0,1,0,-1,300,-1,-1
136,-182.07113647460938,300,0.25,14.11307144165039,19.9010009765625,4.134988784790039,18.18418312072754,0,0,9,-1,-1,300,-1
137,-195.985107421875,300,0.0,17.773603439331055,20.418895721435547,19.77838706970215,18.224308013916016,0,27,6,-1,-1,-1,-1
138,-138.26380920410156,300,0.0,18.793495178222656,19.494234085083008,15.895078659057617,13.897065162658691,0,1,3,-1,-1,-1,-1
139,-35.01531982421875,300,0.5,2.261481761932373,17.582992553710938,14.01449203491211,0.7962482571601868,0,0,0,300,-1,-1,300
140,-200.5927276611328,300,0.0,14.785646438598633,19.946260452270508,16.94068145751953,17.254276275634766,0,21,2,-1,-1,-1,-1
141,-82.50098419189453,300,0.25,13.125152587890625,19.810623168945312,1.982765555381775,19.098522186279297,0,0,0,-1,-1,300,-1
142,-171.1385040283203,300,0.25,18.349536895751953,18.118789672851562,16.998056411743164,2.7210264205932617,3,16,3,-1,-1,-1,300
143,-195.05081176757812,300,0.25,18.353317260742188,19.387304306030273,19.285310745239258,1.325458288192749,0,0,77,-1,-1,-1,300
144,-385.03411865234375,300,0.0,18.36946678161621,19.663270950317383,19.10905647277832,16.454448699951172,0,146,9,-1,-1,-1,-1
145,-210.35879516601562,300,0.0,19.631834030151367,17.609447479248047,20.048179626464844,17.01365852355957,0,12,34,-1,-1,-1,-1
146,-130.06663513183594,300,0.25,19.432418823242188,19.721878051757812,8.152437210083008,14.070985794067383,0,0,1,-1,-1,126,-1
147,-151.18890380859375,300,0.25,19.542613983154297,17.146778106689453,17.604345321655273,5.003239631652832,0,0,33,-1,-1,-1,300
148,-172.31796264648438,300,0.0,19.48198890686035,16.17451286315918,16.92633056640625,11.464868545532227,3,0,0,-1,-1,-1,-1
149,-150.6891632080078,300,0.25,19.683454513549805,20.727386474609375,18.132062911987305,2.8488545417785645,1,6,8,-1,-1,-1,300
150,-145.40203857421875,300,0.25,18.402565002441406,19.152620315551758,0.8175249695777893,10.368529319763184,0,0,8,-1,-1,13,-1
151,-160.41505432128906,300,0.0,19.726032257080078,20.35453224182129,16.351932525634766,16.420406341552734,0,13,6,-1,-1,-1,-1
152,-226.9111328125,300,0.0,16.887184143066406,16.77709197998047,17.093915939331055,11.816807746887207,0,0,0,-1,-1,-1,-1
153,-202.33518981933594,300,0.25,19.965715408325195,20.004535675048828,18.98252296447754,2.513622522354126,0,44,0,-1,-1,-1,300
154,-139.99954223632812,300,0.25,5.499287128448486,19.314321517944336,15.401089668273926,19.190601348876953,0,14,3,300,-1,-1,-1
155,-128.9105987548828,300,0.0,16.84690284729004,17.770408630371094,17.214052200317383,19.046894073486328,0,1,0,-1,-1,-1,-1
156,-153.22146606445312,300,0.0,15.115376472473145,20.015178680419922,15.082990646362305,16.891218185424805,0,3,0,-1,-1,-1,-1
157,-567.62158203125,300,0.0,17.6109676361084,20.378799438476562,19.27777671813965,16.711009979248047,0,190,170,-1,-1,-1,-1
158,-171.5155487060547,300,0.0,14.800335884094238,17.750415802001953,16.177852630615234,12.59063720703125,0,0,7,-1,-1,-1,-1
159,-150.13421630859375,300,0.0,17.99816131591797,19.13047218322754,20.529743194580078,17.180370330810547,0,0,0,-1,-1,-1,-1
160,-130.6246337890625,300,0.25,14.988641738891602,19.535123825073242,1.4854646921157837,18.94093132019043,0,3,0,-1,-1,300,-1
161,-158.33993530273438,300,0.25,17.939908981323242,19.661514282226562,2.2438766956329346,13.509608268737793,0,0,5,-1,-1,300,-1
162,-89.23446655273438,300,0.25,14.506802558898926,3.802446126937866,13.86509895324707,19.913787841796875,0,0,0,-1,300,-1,-1
163,-143.7899169921875,300,0.0,18.078332901000977,18.73217010498047,18.74324607849121,14.654287338256836,0,1,5,-1,-1,-1,-1
164,-258.8748474121094,300,0.0,19.727582931518555,18.9549617767334,19.492616653442383,19.493772506713867,0,82,0,-1,-1,-1,-1
165,-149.19810485839844,300,0.25,16.3944091796875,18.96327018737793,14.113385200500488,3.3510971069335938,1,15,18,-1,-1,-1,300
166,-240.17361450195312,300,0.0,19.04247283935547,20.310163497924805,19.722684860229492,19.170974731445312,0,53,8,-1,-1,-1,-1
167,-269.818603515625,300,0.25,18.14617156982422,19.03925895690918,19.258562088012695,18.800708770751953,0,63,14,-1,-1,-1,300
168,-243.6662139892578,300,0.5,14.517884254455566,19.28874397277832,18.03017807006836,2.3376498222351074,0,117,0,300,-1,-1,300
169,-153.39523315429688,300,0.25,18.153884887695312,18.254261016845703,18.415903091430664,3.3300347328186035,0,9,0,-1,-1,-1,300
