episode,seed,n_obstacles,steps,windows,completed_high_total,success,avg_reward_episode,uav0_dist,uav1_dist,uav2_dist,uav3_dist,mean_uav_dist,coll_uav_uav,coll_uav_obs,coll_uav_other_task,total_collisions,collision_rate,uav0_finish,uav1_finish,uav2_finish,uav3_finish,mean_finish_step
0,2023,7,12,1,4,1.0,9.714750289916992,0.9105971455574036,1.0084573030471802,0.8489490151405334,0.8545812368392944,0.9056462049484253,0,3,0,3,0.25,11,12,11,11,11.25
1,2024,7,16,1,4,1.0,13.817091941833496,0.48277002573013306,1.3816214799880981,0.3622158467769623,0.7517750263214111,0.7445955872535706,0,0,0,0,0.0,6,16,5,9,9.0
2,2025,7,12,1,4,1.0,11.471771240234375,1.0392285585403442,0.3020380139350891,0.4316902756690979,0.7300782203674316,0.6257587671279907,0,2,0,2,0.16666666666666666,12,5,5,9,7.75
3,2026,7,28,1,4,1.0,2.1017422676086426,1.614022970199585,0.7469446659088135,0.243101567029953,2.2074906826019287,1.2028899192810059,0,6,0,6,0.21428571428571427,21,9,3,28,15.25
4,2027,7,19,1,4,1.0,10.607667922973633,0.4317743182182312,1.3946609497070312,0.9365172386169434,0.16212347149848938,0.7312690019607544,0,2,0,2,0.10526315789473684,6,19,11,2,9.5
5,2028,7,25,1,4,1.0,5.924199104309082,1.024327039718628,1.9560550451278687,1.9223074913024902,0.17306211590766907,1.2689379453659058,0,3,0,3,0.12,14,25,24,2,16.25
6,2029,7,20,1,4,1.0,3.2452945709228516,1.6701421737670898,1.132107138633728,0.32374656200408936,1.0806785821914673,1.051668643951416,0,7,0,7,0.35,20,14,4,14,13.0
7,2030,7,26,1,4,1.0,10.861966133117676,0.5596472024917603,0.91946941614151,1.9055711030960083,0.8220261335372925,1.0516785383224487,0,0,0,0,0.0,7,13,26,11,14.25
8,2031,7,19,1,4,1.0,12.314582824707031,1.18118417263031,1.4706270694732666,0.0855286717414856,0.530656099319458,0.8169989585876465,0,0,0,0,0.0,15,19,1,7,10.5
9,2032,7,31,1,4,1.0,1.2642161846160889,0.43839022517204285,2.366724729537964,0.5668817758560181,0.2924487590789795,0.916111409664154,0,8,0,8,0.25806451612903225,6,31,7,4,12.0
10,2033,7,21,1,4,1.0,-11.553053855895996,1.1209185123443604,1.1048206090927124,1.6345678567886353,1.4162417650222778,1.3191370964050293,0,18,0,18,0.8571428571428571,14,14,21,19,17.0
11,2034,7,38,1,4,1.0,-4.541323661804199,1.5720503330230713,2.64868426322937,0.5381528735160828,0.46684229373931885,1.3064323663711548,0,10,0,10,0.2631578947368421,20,38,7,6,17.75
12,2035,7,13,1,4,1.0,10.479698181152344,0.33841365575790405,0.15481659770011902,0.39013805985450745,1.1255229711532593,0.5022228360176086,0,3,0,3,0.23076923076923078,4,2,6,13,6.25
13,2036,7,23,1,4,1.0,-2.188434362411499,0.6040355563163757,1.653279185295105,1.763861894607544,0.9634982347488403,1.246168613433838,0,10,0,10,0.43478260869565216,9,20,23,12,16.0
14,2037,7,16,1,4,1.0,0.2838475704193115,0.7872412204742432,1.1474906206130981,0.611890435218811,0.8751215934753418,0.8554359674453735,0,10,0,10,0.625,10,16,8,11,11.25
15,2038,7,20,1,4,1.0,4.839988708496094,0.777764081954956,0.3447064459323883,1.254696011543274,1.4967087507247925,0.9684687852859497,0,6,0,6,0.3,12,4,15,20,12.75
16,2039,7,24,1,4,1.0,0.1251211166381836,1.4482895135879517,1.9511221647262573,0.5725263357162476,1.00643789768219,1.2445939779281616,0,8,0,8,0.3333333333333333,20,24,7,12,15.75
17,2040,7,18,1,4,1.0,6.639094352722168,0.8181217908859253,1.3865493535995483,0.15003636479377747,1.0898799896240234,0.861146867275238,0,5,0,5,0.2777777777777778,10,18,2,15,11.25
18,2041,7,31,1,4,1.0,-7.935041904449463,1.1989744901657104,0.9641889333724976,2.0492584705352783,2.453878402709961,1.6665750741958618,0,12,0,12,0.3870967741935484,16,13,24,31,21.0
